question,answer
Who is the instructor for The understanding of Chinese culture.?,The instructor of The understanding of Chinese culture. is Periodic Balance.
How many credits is The understanding of Chinese culture. worth?,The understanding of Chinese culture. is worth 3.0 credits.
When and where is The understanding of Chinese culture. held?,"The understanding of Chinese culture. is held at Number 6, 7, 8. in Window Innovator (317)."
What type of course is The understanding of Chinese culture.?,The understanding of Chinese culture. is classified as a Theory course.
Are there any additional notes for The understanding of Chinese culture.?,Notes: Chinese and Song-in-the-Shan
What is the course code for Chinese I?,The course code for Chinese I is NGGL1008.
Who is the instructor for Chinese I?,The instructor of Chinese I is Periodic Balance.
How many credits is Chinese I worth?,Chinese I is worth 3.0 credits.
When and where is Chinese I held?,"Chinese I is held at Number 2, 3, 4. in Window Innovator (317)."
What type of course is Chinese I?,Chinese I is classified as a Theory course.
Are there any additional notes for Chinese I?,Notes: Chinese and Song-in-the-Shan
What is the course code for Local understanding.?,The course code for Local understanding. is NGHI1011.
Who is the instructor for Local understanding.?,The instructor of Local understanding. is Seo Joon-suk.
How many credits is Local understanding. worth?,Local understanding. is worth 3.0 credits.
When and where is Local understanding. held?,"Local understanding. is held at Month 2,3,4 in PHYSIC (301)."
What type of course is Local understanding.?,Local understanding. is classified as a Theory course.
Are there any additional notes for Local understanding.?,Notes: Nan
What is the course code for Local understanding.?,The course code for Local understanding. is NGHI1011.
Who is the instructor for Local understanding.?,The instructor of Local understanding. is Seo Joon-suk.
How many credits is Local understanding. worth?,Local understanding. is worth 3.0 credits.
When and where is Local understanding. held?,"Local understanding. is held at Months 6,7,8 in PHYSIC (301)."
What type of course is Local understanding.?,Local understanding. is classified as a Theory course.
Are there any additional notes for Local understanding.?,Notes: Nan
What is the course code for I understand how a startup works.?,The course code for I understand how a startup works. is NGEN1008.
Who is the instructor for I understand how a startup works.?,The instructor of I understand how a startup works. is Kim Yu-sun..
How many credits is I understand how a startup works. worth?,I understand how a startup works. is worth 2.0 credits.
When and where is I understand how a startup works. held?,"I understand how a startup works. is held at Number 2, 3. in Window Innovator (316)."
What type of course is I understand how a startup works.?,I understand how a startup works. is classified as a Theory course.
Are there any additional notes for I understand how a startup works.?,"Notes: Fusion Management, Accounting Degrees,"
What is the course code for I understand how a startup works.?,The course code for I understand how a startup works. is NGEN1008.
Who is the instructor for I understand how a startup works.?,The instructor of I understand how a startup works. is Kim Yu-sun..
How many credits is I understand how a startup works. worth?,I understand how a startup works. is worth 2.0 credits.
When and where is I understand how a startup works. held?,"I understand how a startup works. is held at Number 6, 7. in Window Innovator (316)."
What type of course is I understand how a startup works.?,I understand how a startup works. is classified as a Theory course.
Are there any additional notes for I understand how a startup works.?,"Notes: Fusion Management, Accounting Degrees,"
What is the course code for Write in Window?,The course code for Write in Window is NBAS1010.
Who is the instructor for Write in Window?,The instructor of Write in Window is Song Hyeran.
How many credits is Write in Window worth?,Write in Window is worth 2.0 credits.
When and where is Write in Window held?,"Write in Window is held at Gold 6, 7 in Human Social Science View (303)."
What type of course is Write in Window?,Write in Window is classified as a Theory course.
Are there any additional notes for Write in Window?,Notes: Nan
What is the course code for Creativity Problems Solved?,The course code for Creativity Problems Solved is NGPH1010.
Who is the instructor for Creativity Problems Solved?,The instructor of Creativity Problems Solved is Kim Zheng-soon..
How many credits is Creativity Problems Solved worth?,Creativity Problems Solved is worth 3.0 credits.
When and where is Creativity Problems Solved held?,"Creativity Problems Solved is held at Gold 2, 3, 4. in Human Social Science View (305)."
What type of course is Creativity Problems Solved?,Creativity Problems Solved is classified as a Theory course.
Are there any additional notes for Creativity Problems Solved?,Notes: Nan
What is the course code for Oriental wisdom learned by text.?,The course code for Oriental wisdom learned by text. is NGPH1006.
Who is the instructor for Oriental wisdom learned by text.?,The instructor of Oriental wisdom learned by text. is You're a spiritual man..
How many credits is Oriental wisdom learned by text. worth?,Oriental wisdom learned by text. is worth 3.0 credits.
When and where is Oriental wisdom learned by text. held?,"Oriental wisdom learned by text. is held at Thirst 6,7,8 in PHYSIC (301)."
What type of course is Oriental wisdom learned by text.?,Oriental wisdom learned by text. is classified as a Theory course.
Are there any additional notes for Oriental wisdom learned by text.?,Notes: Nan
What is the course code for Western wisdom learned by text?,The course code for Western wisdom learned by text is NGPH1007.
